Product Type,Product Name,Partner Email,Branch Name,Duration,Intake Month,Description,Subject Area,Subject,Degree Level,Requirement Degree Level,Academic Type,Academic Score,TOEFL,IELTS,PTE,Installment Type,Accommodation Fee Type,Accommodation Amount,Accommodation Installments,Accommodation Total Fee,Tution Fee Type,Tution Installments,Tution Amount,Tution Total Fee,Overall Fees
Course,Mathematical support and administration of information systems,bazhenova_oa@usue.ru,Ekaterinburg Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Applied and Pure Science,Mathematics,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,1950,7800,9000
Course,Computer science and engineering,bazhenova_oa@usue.ru,Ekaterinburg Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Computer Science and IT,Computer Science,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,2200,8800,10000
Course,Applied informatics,bazhenova_oa@usue.ru,Ekaterinburg Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Applied and Pure Science,Other Applied and Pure Science Courses,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,2200,8800,10000
Course,Information security,bazhenova_oa@usue.ru,Ekaterinburg Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Computer Science and IT,Computer Science,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,2200,8800,10000
Course,Technological machines and equipment,bazhenova_oa@usue.ru,Ekaterinburg Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Engineering,Mechanical Engineering,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,2200,8800,10000
Course,Biotechnology,bazhenova_oa@usue.ru,Ekaterinburg Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Applied and Pure Science,General Sciences,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,2200,8800,10000
Course,Production technology and organization of public transport,bazhenova_oa@usue.ru,Ekaterinburg Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Engineering,Vehicle Engineering,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,2200,8800,10000
Course,Land management and cadastres,bazhenova_oa@usue.ru,Ekaterinburg Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Engineering,Mining and Oil & Gas Operations,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,2200,8800,10000
Course,Quality management,bazhenova_oa@usue.ru,Ekaterinburg Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Engineering,Quality Control,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,2200,8800,10000
Course,Economics,bazhenova_oa@usue.ru,Ekaterinburg Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Social Studies and Media,Economics,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,2200,8800,10000
